step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1049,0.0,1.0,,
1050,1e-05,1.0,,
1051,1.804,0.88889,,
1052,1.88554,0.88889,,
1053,0.0,1.0,,
1054,0.0,1.0,,
1055,0.0,0.66667,,
1056,0.0,1.0,,
1057,1.66672,0.88889,,
1058,0.00026,1.0,,
1059,1.74517,0.88889,,
1060,1.92378,0.88889,,
1061,0.0,1.0,,
1062,1.82818,0.88889,,
1063,0.0,1.0,,
1064,0.0,1.0,,
1065,0.0,1.0,,
1066,0.0,1.0,,
1067,1e-05,1.0,,
1068,1e-05,1.0,,
1069,1.31741,0.88889,,
1070,0.87779,0.88889,,
1071,0.00054,1.0,,
1072,0.74771,0.77778,,
1073,0.0,1.0,,
1074,0.0,1.0,,
1075,0.0,1.0,,
1076,0.0,1.0,,
1077,0.37374,0.88889,,
1078,1.4556,0.88889,,
1079,0.0,1.0,,
1080,2e-05,1.0,,
1081,0.19533,0.88889,,
1082,0.28917,0.91667,,
1083,0.0,1.0,,
1084,0.85758,0.88889,,
1085,1e-05,1.0,,
1086,1.276,0.88889,,
1087,0.0,1.0,,
1088,0.0,1.0,,
1089,0.0,1.0,,
1090,2e-05,1.0,,
1091,0.0,1.0,,
1092,0.0,1.0,,
1093,3e-05,1.0,,
1094,0.0,1.0,,
1095,0.0,1.0,,
1096,1.09019,0.88889,,
1097,0.0,1.0,,
1098,0.0,1.0,,
1099,1.77615,0.88889,,
1100,1.62264,0.88889,,
1101,0.0,1.0,,
1102,0.0,1.0,,
1103,1.61285,0.83333,,
1104,0.0,1.0,,
1105,0.0,1.0,,
1106,0.0,1.0,,
1107,0.0,1.0,,
1108,0.0,1.0,,
1109,0.0,1.0,,
1110,0.06735,1.0,,
1111,0.0,1.0,,
1112,0.0,1.0,,
1113,1.92786,0.88889,,
1114,0.0,1.0,,
1115,0.0,1.0,,
1116,0.01029,1.0,,
1117,1.59698,0.88889,,
1118,0.0,1.0,,
1119,7e-05,1.0,,
1120,1.83985,0.88889,,
1121,0.0,1.0,,
1122,0.89489,0.88889,,
1123,1.12054,0.88889,,
1124,0.0,1.0,,
1125,0.0,1.0,,
1126,0.0,1.0,,
1127,1.096,0.88889,,
1128,0.0,1.0,,
1129,1.52655,0.88889,,
1130,0.0,1.0,,
1131,0.0,1.0,,
1132,2e-05,1.0,,
1133,1.60028,0.88889,,
1134,0.0,1.0,,
1135,0.0,1.0,,
1136,0.0,1.0,,
1137,0.0,1.0,,
1138,0.0,1.0,,
1139,1.57147,0.88889,,
1140,0.0,1.0,,
1141,0.0,1.0,,
1142,1.66539,0.88889,,
1143,0.0,1.0,,
1144,0.0,1.0,,
1145,0.0,1.0,,
1146,0.00128,1.0,,
1147,1.81191,0.88889,,
1148,1.83839,0.88889,,
1149,2.99002,0.77778,,
1150,0.0,1.0,,
1151,1.83758,0.88889,,
1152,0.0,1.0,,
1153,1.84717,0.77778,,
1154,0.0,1.0,,
1155,0.0,1.0,,
1156,0.14433,0.88889,,
1157,0.0,1.0,,
1158,1.57213,0.88889,,
1159,0.0,1.0,,
1160,0.0,1.0,,
1161,0.00013,1.0,,
1162,0.0,1.0,,
1163,1.22597,0.88889,,
1164,0.43402,0.88889,,
1165,0.57749,0.88889,,
1166,0.0,1.0,,
1167,0.0021,1.0,,
1168,0.0,1.0,,
1169,0.0,1.0,,
1170,0.0,1.0,,
1171,0.0,1.0,,
1172,0.0,1.0,,
1173,1.00154,0.88889,,
1174,0.0,1.0,,
1175,2e-05,1.0,,
1176,1.88209,0.88889,,
1177,0.0,1.0,,
1178,0.50984,0.88889,,
1179,0.0,1.0,,
1180,0.0,1.0,,
1181,0.0,1.0,,
1182,0.0,1.0,,
1183,1.54055,0.88889,,
1184,0.0,0.66667,,
1185,0.0,1.0,,
1186,1.6648,0.88889,,
1187,0.0,1.0,,
1188,2e-05,1.0,,
1189,0.0,1.0,,
1190,0.0,1.0,,
1191,0.0,1.0,,
1192,0.0,1.0,,
1193,0.0,1.0,,
1194,0.27187,0.88889,,
1195,0.0,1.0,,
1196,1.34086,0.88889,,
1197,0.0,1.0,,
1198,0.0,1.0,,
1199,0.0,1.0,,
1200,1.79778,0.88889,,
1201,1.92877,0.88889,,
1202,0.0,1.0,,
1203,0.0,1.0,,
1204,0.0,1.0,,
1205,1.43854,0.88889,,
1206,0.0,1.0,,
1207,0.0,1.0,,
1208,0.0,1.0,,
1209,0.0,1.0,,
1210,1.87992,0.88889,,
1211,0.0,1.0,,
1212,0.0,1.0,,
1213,0.0,1.0,,
1214,0.0,1.0,,
1215,0.01304,1.0,,
1216,0.0,1.0,,
1217,0.0,1.0,,
1218,1.7514,0.88889,,
1219,0.0,1.0,,
1220,0.0,1.0,,
1221,0.0,1.0,,
1222,0.0,1.0,,
1223,0.0,1.0,,
1224,1e-05,1.0,,
1225,0.0,1.0,,
1226,0.0,1.0,,
1227,0.0,1.0,,
1228,0.0,1.0,,
1229,0.0,1.0,,
1230,1.50609,0.88889,,
1231,1e-05,1.0,,
1232,0.0,1.0,,
1233,0.50027,0.88889,,
1234,0.21672,0.88889,,
1235,0.08715,0.88889,,
1236,0.00021,1.0,,
1237,2.59588,0.77778,,
1238,0.0,1.0,,
1239,0.0,1.0,,
1240,0.25346,0.88889,,
1241,1e-05,1.0,,
1242,0.0,1.0,,
1243,1.31354,0.88889,,
1244,0.0,1.0,,
1245,0.93426,0.88889,,
1246,0.0,1.0,,
1247,0.0,1.0,,
1248,0.0,1.0,,
1249,0.0,1.0,,
1250,0.0,1.0,,
1251,0.0,1.0,,
1252,3.03248,0.77778,,
1253,0.0,1.0,,
1254,0.0,1.0,,
1255,0.63011,0.88889,,
1256,0.0,1.0,,
1257,0.00371,1.0,,
1258,0.0,1.0,,
1259,0.0,1.0,,
1260,0.0,1.0,,
1261,0.0,1.0,,
1262,0.0,1.0,,
1263,1.56147,0.88889,,
1264,0.00283,1.0,,
1265,0.0,1.0,,
1266,0.0,1.0,,
1267,1.00469,0.88889,,
1268,0.0,1.0,,
1269,0.0,1.0,,
1270,0.0,1.0,,
1271,0.0,1.0,,
1272,0.0,1.0,,
1273,0.0,1.0,,
1274,2.14997,0.88889,,
1275,0.0,1.0,,
1276,0.0,1.0,,
1277,0.18334,0.88889,,
1278,0.0,1.0,,
1279,0.0,1.0,,
1280,2.07352,0.88889,,
1281,0.0,1.0,,
1282,1.66161,0.88889,,
1283,1.04641,0.88889,,
1284,0.0,1.0,,
1285,0.0,1.0,,
1286,0.0,1.0,,
1287,0.0,1.0,,
1288,0.0,1.0,,
1289,1e-05,1.0,,
1290,2.32568,0.88889,,
1291,0.0,1.0,,
1292,0.0,1.0,,
1293,1.65111,0.88889,,
1294,1.30588,0.88889,,
1295,0.0,1.0,,
1296,0.0,1.0,,
1297,0.0,1.0,,
1298,0.0,1.0,,
1299,0.0,1.0,,
1300,1.65958,0.88889,,
1301,1.68238,0.88889,,
1302,0.0,1.0,,
1303,0.0,1.0,,
1304,1e-05,1.0,,
1305,1.5939,0.88889,,
1306,0.00071,1.0,,
1307,0.0,1.0,,
1308,2.13749,0.88889,,
1309,1.48211,0.88889,,
1310,0.0,1.0,,
1311,0.0,1.0,,
1312,0.0,1.0,,
1313,0.33891,0.88889,,
1314,0.0,1.0,,
1315,1.10927,0.88889,,
1316,0.0,1.0,,
1317,0.97977,0.83333,,
1318,0.0079,1.0,,
1319,0.0,1.0,,
1320,1.32132,0.88889,,
1321,0.0,1.0,,
1322,0.0,1.0,,
1323,0.0,0.5,,
1324,0.0,1.0,,
1325,0.0,1.0,,
1326,1.79983,0.88889,,
1327,0.0,1.0,,
1328,1.79778,0.88889,,
1329,0.0,1.0,,
1330,0.0,1.0,,
1331,0.0,1.0,,
1332,0.0,1.0,,
1333,1.59637,0.88889,,
1334,0.0,1.0,,
1335,3e-05,1.0,,
1336,0.56659,0.88889,,
1337,0.0,1.0,,
1338,0.0,1.0,,
1339,0.0,1.0,,
1340,0.0,1.0,,
1341,0.0,1.0,,
1342,1.74256,0.88889,,
1343,0.0,1.0,,
1344,0.0,1.0,,
1345,0.0,1.0,,
1346,0.0667,1.0,,
1347,0.0,1.0,,
1348,0.0,1.0,,
1349,0.0,1.0,,
1350,0.0,1.0,,
1351,0.0,1.0,,
1352,1.69356,0.88889,,
1353,0.0,1.0,,
1354,0.0,1.0,,
1355,0.91458,0.88889,,
1356,0.0,1.0,,
1357,1.54247,0.88889,,
1358,0.0,0.66667,,
1359,0.0,1.0,,
1360,0.0,1.0,,
1361,0.0,1.0,,
1362,0.0,1.0,,
1363,0.0,1.0,,
1364,0.0,1.0,,
1365,0.0,1.0,,
1366,1.57447,0.83333,,
1367,0.0,1.0,,
1368,0.0,1.0,,
1369,0.0,1.0,,
1370,0.0,1.0,,
1371,0.0,1.0,,
1372,1.6183,0.88889,,
1373,0.0,1.0,,
1374,1.6337,0.88889,,
1375,0.0,1.0,,
1376,2.01866,0.77778,,
1377,3.28714,0.77778,,
1378,2.83292,0.77778,,
1379,4.06733,0.77778,,
1380,0.0,1.0,,
1381,0.0,1.0,,
1382,2.08814,0.88889,,
1383,0.71934,0.88889,,
1384,0.0,1.0,,
1385,0.0,1.0,,
1386,0.0,1.0,,
1387,0.01618,1.0,,
1388,1.98905,0.88889,,
1389,0.0,1.0,,
1390,0.69381,0.88889,,
1391,0.0,1.0,,
1392,0.0,1.0,,
1393,1.83042,0.88889,,
1394,0.0,1.0,,
1395,0.0,1.0,,
1396,0.0,1.0,,
1397,0.0,1.0,,
1398,1.79978,0.88889,,
1399,0.0,1.0,,
1400,0.0,1.0,,
1401,2.12916,0.88889,,
1402,1.77228,0.88889,,
1403,0.0,1.0,,
1404,0.53196,0.88889,,
1405,0.0,1.0,,
1406,1.58721,0.88889,,
1407,4e-05,1.0,,
1408,0.0,1.0,,
1409,0.0,1.0,,
1410,0.0,1.0,,
1411,0.0,1.0,,
1412,1.58297,0.88889,,
1413,0.0,1.0,,
1414,0.55963,0.88889,,
1415,0.0,1.0,,
1416,1.49679,0.88889,,
1417,0.0,1.0,,
1418,0.0,1.0,,
1419,1.47236,0.88889,,
1420,0.0,1.0,,
1421,0.0,1.0,,
1422,0.6667,0.88889,,
1423,0.0,1.0,,
1424,0.0,1.0,,
1425,0.0,1.0,,
1426,0.00011,1.0,,
1427,0.0,1.0,,
1428,0.0,1.0,,
1429,0.0,1.0,,
1430,1.1257,0.88889,,
1431,0.0,1.0,,
1432,0.0,1.0,,
1433,1.22942,0.88889,,
1434,0.0,1.0,,
1435,0.0,1.0,,
1436,0.0,1.0,,
1437,0.00011,1.0,,
1438,0.0,1.0,,
1439,0.0,1.0,,
1440,0.0,1.0,,
1441,0.0,1.0,,
1442,1.61385,0.88889,,
1443,0.01126,1.0,,
1444,0.0,1.0,,
1445,0.0,1.0,,
1446,0.0036,1.0,,
1447,1.6616,0.88889,,
1448,0.0,1.0,,
1449,0.0,1.0,,
1450,1.89542,0.88889,,
1451,0.0219,1.0,,
1452,0.0,1.0,,
1453,0.0,1.0,,
1454,0.0,1.0,,
1455,1.14275,0.88889,,
1456,0.0,1.0,,
1457,0.00741,1.0,,
1458,0.0,1.0,,
1459,0.24619,0.77778,,
1460,1.825,0.88889,,
1461,0.0,1.0,,
1462,0.0,1.0,,
1463,1.04992,0.88889,,
1464,0.0,1.0,,
1465,0.0,1.0,,
1466,0.0,1.0,,
1467,0.84687,0.88889,,
1468,1.79783,0.88889,,
1469,0.0,1.0,,
1470,0.0,1.0,,
1471,1.93547,0.88889,,
1472,1.28984,0.88889,,
1473,1e-05,1.0,,
1474,0.0,1.0,,
1475,1.55735,0.88889,,
1476,0.0,1.0,,
1477,0.0,1.0,,
1478,0.02484,1.0,,
1479,0.0,1.0,,
1480,0.00401,1.0,,
1481,1.69062,0.88889,,
1482,0.0,1.0,,
1483,0.0,1.0,,
1484,0.0,1.0,,
1485,0.0,1.0,,
1486,1.66043,0.88889,,
1487,1.40575,0.88889,,
1488,0.0,1.0,,
1489,0.0,1.0,,
1490,0.0,1.0,,
1491,0.0,1.0,,
1492,0.0,1.0,,
1493,0.0,1.0,,
1494,0.0,1.0,,
1495,0.0,1.0,,
1496,0.0,1.0,,
1497,0.0,1.0,,
1498,0.0,1.0,,
1499,0.0,1.0,,
1500,0.0,1.0,,
