step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
234,0.96168,0.88889,,
235,1.16712,0.77778,,
236,0.91177,0.88889,,
237,2e-05,1.0,,
238,0.99958,0.77778,,
239,0.00102,1.0,,
240,3e-05,1.0,,
241,0.0003,1.0,,
242,1.98989,0.77778,,
243,2.34089,0.77778,,
244,0.81631,0.88889,,
245,0.38007,0.88889,,
246,0.0361,1.0,,
247,0.00017,1.0,,
248,0.1162,0.88889,,
249,0.13717,0.88889,,
250,0.72668,0.88889,,
251,0.35145,0.88889,,
252,0.00033,1.0,,
253,0.06223,1.0,,
254,1.06202,0.88889,,
255,1.37004,0.88889,,
256,0.00163,1.0,,
257,0.00017,1.0,,
258,0.70293,0.88889,,
259,0.77244,0.77778,,
260,0.12099,0.88889,,
261,0.08093,0.88889,,
262,0.0335,1.0,,
263,0.13182,0.88889,,
264,0.00019,1.0,,
265,0.86835,0.88889,,
266,0.53255,0.88889,,
267,0.00102,1.0,,
268,0.66199,0.77778,,
269,1.10703,0.88889,,
270,0.24823,0.88889,,
271,0.8038,0.88889,,
272,0.60616,0.88889,,
273,0.45589,0.88889,,
274,0.00133,1.0,,
275,0.0032,1.0,,
276,0.11924,0.88889,,
277,0.00114,1.0,,
278,1.22703,0.77778,,
279,0.00932,1.0,,
280,0.12793,0.88889,,
281,0.23402,0.88889,,
282,0.75249,0.88889,,
283,0.0082,1.0,,
284,0.07299,1.0,,
285,1.58126,0.77778,,
286,0.00159,1.0,,
287,0.00817,1.0,,
288,0.00256,1.0,,
289,0.00021,1.0,,
290,0.00114,1.0,,
291,0.00019,1.0,,
292,1.35329,0.77778,,
293,0.80877,0.77778,,
294,0.00461,1.0,,
295,0.6508,0.88889,,
296,1.27402,0.88889,,
297,0.27115,0.88889,,
298,0.63105,0.88889,,
299,0.4366,0.88889,,
300,0.30331,0.88889,,
301,8e-05,1.0,,
302,0.33879,0.88889,,
303,0.02359,1.0,,
304,0.00611,1.0,,
305,0.00028,1.0,,
306,0.41115,0.77778,,
307,0.66145,0.88889,,
308,9e-05,1.0,,
309,0.00279,1.0,,
310,0.87266,0.77778,,
311,1.08196,0.88889,,
312,2e-05,1.0,,
313,0.81127,0.77778,,
314,0.42123,0.88889,,
315,0.4021,0.77778,,
316,0.28949,0.88889,,
317,3e-05,0.5,,
318,0.3416,0.88889,,
319,0.00193,1.0,,
320,0.78538,0.88889,,
321,0.04704,1.0,,
322,0.38175,0.88889,,
323,0.58417,0.88889,,
324,1.29831,0.88889,,
325,1.59169,0.77778,,
326,1.21102,0.88889,,
327,4e-05,1.0,,
328,1.57681,0.77778,,
329,0.00069,1.0,,
330,0.26408,0.88889,,
331,0.60484,0.88889,,
332,0.35369,0.88889,,
333,5e-05,1.0,,
334,0.82802,0.77778,,
335,0.00088,1.0,,
336,0.02973,1.0,,
337,0.00052,1.0,,
338,0.74737,0.77778,,
339,0.00098,1.0,,
340,0.00036,1.0,,
341,0.43678,0.88889,,
342,5e-05,1.0,,
343,0.33369,0.88889,,
344,0.00111,1.0,,
345,1.02882,0.88889,,
346,0.59659,0.88889,,
347,0.10935,0.88889,,
348,0.41122,0.88889,,
349,1.07816,0.88889,,
350,3e-05,1.0,,
351,0.21723,0.88889,,
352,0.00122,1.0,,
353,0.60691,0.88889,,
354,1.33315,0.77778,,
355,3e-05,1.0,,
356,0.00013,1.0,,
357,1.62048,0.88889,,
358,1.31745,0.88889,,
359,0.09576,1.0,,
360,0.82538,0.88889,,
361,0.00699,0.5,,
362,0.00494,1.0,,
363,8e-05,0.66667,,
364,1.292,0.77778,,
365,0.02095,1.0,,
366,2.01412,0.88889,,
367,2.96542,0.77778,,
368,0.00385,1.0,,
369,1.68081,0.77778,,
370,8e-05,1.0,,
371,0.10422,0.88889,,
372,4e-05,1.0,,
373,0.02178,1.0,,
374,0.0073,1.0,,
375,0.04944,1.0,,
376,1.04174,0.88889,,
377,0.01168,1.0,,
378,0.00281,1.0,,
379,0.98294,0.88889,,
380,3e-05,1.0,,
381,6e-05,1.0,,
382,0.1227,0.88889,,
383,0.00015,1.0,,
384,2.09382,0.77778,,
385,4e-05,1.0,,
386,0.00162,1.0,,
387,0.00024,1.0,,
388,5e-05,1.0,,
389,1e-05,1.0,,
390,0.91979,0.77778,,
391,0.44502,0.88889,,
392,0.07838,1.0,,
393,1.74429,0.77778,,
394,2e-05,1.0,,
395,0.00357,1.0,,
396,0.57612,0.88889,,
397,1e-05,1.0,,
398,1e-05,1.0,,
399,2e-05,1.0,,
400,8e-05,1.0,,
401,4e-05,1.0,,
402,0.01646,1.0,,
403,1e-05,1.0,,
404,1e-05,1.0,,
405,0.0109,1.0,,
406,1.8194,0.88889,,
407,0.13563,0.88889,,
408,1.56572,0.88889,,
409,0.26289,0.88889,,
410,1e-05,1.0,,
411,1e-05,1.0,,
412,0.00137,1.0,,
413,7e-05,1.0,,
414,0.28752,0.88889,,
415,1e-05,1.0,,
416,1.35456,0.88889,,
417,0.75488,0.88889,,
418,0.01513,1.0,,
419,0.00076,1.0,,
420,1e-05,1.0,,
421,3e-05,1.0,,
422,1e-05,1.0,,
423,2e-05,1.0,,
424,1.85393,0.88889,,
425,1e-05,1.0,,
426,0.11105,0.88889,,
427,0.32204,0.88889,,
428,1e-05,1.0,,
429,1e-05,1.0,,
430,0.05277,1.0,,
431,2.24475,0.88889,,
432,1e-05,0.5,,
433,1e-05,1.0,,
434,1e-05,1.0,,
435,2.11625,0.88889,,
436,0.45948,0.88889,,
437,1.10046,0.88889,,
438,0.0,1.0,,
439,0.0,1.0,,
440,0.99966,0.88889,,
441,0.0,1.0,,
442,0.0,1.0,,
443,0.0,1.0,,
444,2.0007,0.77778,,
445,0.00068,1.0,,
446,0.24257,0.88889,,
447,1.30081,0.88889,,
448,1e-05,1.0,,
449,0.0194,1.0,,
450,0.00025,1.0,,
451,0.0,1.0,,
452,0.0,1.0,,
453,0.3769,0.88889,,
454,4.17239,0.66667,,
455,0.0,1.0,,
456,2.02117,0.88889,,
457,5.22954,0.77778,,
458,2.44582,0.83333,,
459,0.67941,0.88889,,
460,1.95872,0.88889,,
461,0.0,1.0,,
462,0.93774,0.88889,,
463,1.48826,0.88889,,
464,3.06219,0.77778,,
465,2.39752,0.88889,,
466,0.0,1.0,,
467,1.54252,0.88889,,
468,1.47123,0.88889,,
469,0.0,1.0,,
470,1e-05,1.0,,
471,0.00046,1.0,,
472,1.39656,0.88889,,
473,0.00583,1.0,,
474,1.23381,0.88889,,
475,0.97577,0.88889,,
476,0.01753,1.0,,
477,0.00018,1.0,,
478,1.17733,0.88889,,
479,0.00245,1.0,,
480,1e-05,1.0,,
481,1.2074,0.77778,,
482,0.02174,1.0,,
483,0.00823,1.0,,
484,0.00349,1.0,,
485,2.85103,0.77778,,
486,5e-05,1.0,,
487,1.77375,0.88889,,
488,7e-05,1.0,,
489,1.09822,0.88889,,
490,3e-05,1.0,,
491,0.19931,0.88889,,
492,0.001,1.0,,
493,1e-05,1.0,,
494,1e-05,1.0,,
495,0.34511,0.88889,,
496,0.0228,1.0,,
497,1.42895,0.77778,,
498,0.0003,1.0,,
499,0.0002,1.0,,
500,0.0,1.0,,
501,0.0,1.0,,
502,1e-05,1.0,,
503,6e-05,1.0,,
504,1e-05,1.0,,
505,0.06118,1.0,,
506,1e-05,0.5,,
507,0.0,1.0,,
508,0.0,1.0,,
509,0.00017,1.0,,
510,0.01236,1.0,,
511,1.64642,0.88889,,
512,1.01657,0.88889,,
513,0.0,1.0,,
514,1.12772,0.88889,,
515,0.2105,0.88889,,
516,0.0,1.0,,
517,0.0,1.0,,
518,0.0,1.0,,
519,0.0,1.0,,
520,0.0,1.0,,
521,0.05207,1.0,,
522,2.34207,0.88889,,
523,0.35128,0.88889,,
524,1.5222,0.88889,,
525,0.0,1.0,,
526,1.29908,0.88889,,
527,4e-05,1.0,,
528,0.00065,1.0,,
529,0.0,1.0,,
530,1e-05,1.0,,
531,1.85561,0.88889,,
532,0.0,1.0,,
533,1.41728,0.88889,,
534,0.0,1.0,,
