,TP,FP,FN,TN,F1-score,Recall,Precision
feature,431,69,67,918,0.8433082091980936,0.8430976430976431,0.8438165711753138
bug,414,62,79,930,0.8433082091980936,0.8430976430976431,0.8438165711753138
question,407,102,87,889,0.8433082091980936,0.8430976430976431,0.8438165711753138
