TP,FP,FN,TN,F1-score,Recall,Precision
92,28,8,170,0.8362061206120612,0.8366666666666667,0.8500687994496043
92,10,7,189,0.8362061206120612,0.8366666666666667,0.8500687994496043
67,9,32,190,0.8362061206120612,0.8366666666666667,0.8500687994496043
