,TP,FP,FN,TN,F1-score,Recall,Precision
feature,84,21,16,179,0.8001480094936562,0.8,0.802883188467246
bug,76,13,24,187,0.8001480094936562,0.8,0.802883188467246
question,80,26,20,174,0.8001480094936562,0.8,0.802883188467246
