,TP,FP,FN,TN,F1-score,Recall,Precision
feature,81,6,19,188,0.8588148971917845,0.8571428571428571,0.8671251729620678
bug,85,8,12,189,0.8588148971917845,0.8571428571428571,0.8671251729620678
question,86,28,11,169,0.8588148971917845,0.8571428571428571,0.8671251729620678
