,TP,FP,FN,TN,F1-score,Recall,Precision
feature,87,20,13,180,0.8197639424774652,0.82,0.8207092466388549
bug,80,14,20,186,0.8197639424774652,0.82,0.8207092466388549
question,79,20,21,180,0.8197639424774652,0.82,0.8207092466388549
