,TP,FP,FN,TN,F1-score,Recall,Precision
feature,66,14,15,186,0.8154524756849488,0.8149466192170819,0.8171911985218827
bug,82,25,18,156,0.8154524756849488,0.8149466192170819,0.8171911985218827
question,81,13,19,168,0.8154524756849488,0.8149466192170819,0.8171911985218827
