TP,FP,FN,TN,F1-score,Recall,Precision
87,12,13,188,0.799990049256182,0.8,0.8000594177064765
81,21,19,179,0.799990049256182,0.8,0.8000594177064765
72,27,28,173,0.799990049256182,0.8,0.8000594177064765
