,TP,FP,FN,TN,F1-score,Recall,Precision
feature,89,18,11,182,0.7664555547850743,0.77,0.7679386310527527
bug,80,29,20,171,0.7664555547850743,0.77,0.7679386310527527
question,62,22,38,178,0.7664555547850743,0.77,0.7679386310527527
