,TP,FP,FN,TN,F1-score,Recall,Precision
feature,92,22,8,178,0.8500983557300098,0.8533333333333334,0.8594979246838254
bug,94,15,6,185,0.8500983557300098,0.8533333333333334,0.8594979246838254
question,70,7,30,193,0.8500983557300098,0.8533333333333334,0.8594979246838254
