TP,FP,FN,TN,F1-score,Recall,Precision
3874,557,1126,9442,0.8069990873845255,0.8068,0.810236053696549
4299,1133,701,8866,0.8069990873845255,0.8068,0.810236053696549
3929,1207,1070,8793,0.8069990873845255,0.8068,0.810236053696549
