,TP,FP,FN,TN,F1-score,Recall,Precision
feature,82,6,18,194,0.8707510228891061,0.87,0.8767796748298766
bug,88,9,12,191,0.8707510228891061,0.87,0.8767796748298766
question,91,24,9,176,0.8707510228891061,0.87,0.8767796748298766
