,TP,FP,FN,TN,F1-score,Recall,Precision
feature,80,8,20,192,0.8250354006223534,0.8233333333333334,0.8332021986908391
bug,86,32,14,168,0.8250354006223534,0.8233333333333334,0.8332021986908391
question,81,13,19,187,0.8250354006223534,0.8233333333333334,0.8332021986908391
