TP,FP,FN,TN,F1-score,Recall,Precision
82,21,18,179,0.5447931999656138,0.62,0.7083503370694101
95,91,5,109,0.5447931999656138,0.62,0.7083503370694101
9,2,91,198,0.5447931999656138,0.62,0.7083503370694101
